Spectral Rolloff
3671.875
3851.5625
3867.1875
4085.9375
4101.5625
4453.125
4460.9375
4109.375
4468.75
4843.75
4609.375
4546.875
4734.375
3492.1875
1984.375
2492.1875
3468.75
3632.8125
3617.1875
3398.4375
2976.5625
2953.125
2851.5625
3265.625
4031.25
4148.4375
4070.3125
3632.8125
3351.5625
3367.1875
4593.75
2570.3125
2203.125
2226.5625
3898.4375
2406.25
2054.6875
2500.0
3398.4375
4093.75
3187.5
2898.4375
3890.625
4007.8125
3773.4375
3445.3125
4984.375
3898.4375
3070.3125
3195.3125
3054.6875
2945.3125
3039.0625
3226.5625
3179.6875
2929.6875
2828.125
2578.125
4304.6875
7210.9375
7320.3125
7179.6875
6734.375
6039.0625
2187.5
1921.875
3335.9375
4375.0
4093.75
4007.8125
3273.4375
