chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,rms_mean,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zcr_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
0.60892224,0.56016386,0.5475478,0.5623249,0.57136035,0.67460376,0.6942948,0.6300973,0.6601216,0.6599994,0.70964766,0.704505,0.03979423418888591,1762.5439495004593,1777.953291990183,3732.1068548387098,0.10798891129032258,-534.7637,102.3738,4.2876987,18.806807,22.83672,9.441627,-0.26463777,-1.4972093,-8.006865,2.359312,-1.7735175,2.828772,-9.295396,-8.83639,-15.655452,-9.95719,-8.188174,-9.09666,-9.445615,-13.258592,0
0.5631164,0.52287215,0.5136246,0.52944064,0.5613163,0.6702313,0.70854425,0.74697345,0.7898733,0.7560659,0.71179426,0.6677265,0.03826438595909677,1992.767277697209,1927.2907456496407,4257.868303571428,0.1484654017857143,-511.494,87.61869,23.690014,11.937422,10.982027,14.127708,-1.310061,-0.25967112,-0.94217706,2.009842,5.7194047,-3.38035,-10.2023,-10.745051,-17.629269,-14.792455,-6.136567,-3.310243,-8.475481,-8.314748,0
0.70277727,0.66583204,0.68376464,0.6611984,0.6453746,0.67727166,0.66275245,0.7010492,0.7618226,0.7643139,0.8425038,0.82768595,0.032089419811208074,1613.5642365498625,1840.2706385143197,3581.2088815789475,0.0833483244243421,-604.8164,106.364944,27.874634,22.907059,13.280802,7.9744945,-12.065552,1.004315,-8.712505,-2.3258476,0.9111519,1.4401054,-9.979267,-8.91396,-4.3927855,-5.218858,-6.0523477,-5.0970836,-4.9149113,-4.120407,0
0.6158521,0.52263826,0.52535,0.6189193,0.6387634,0.6150774,0.5832231,0.6079241,0.6581684,0.68964404,0.6652393,0.6414848,0.057509905703511534,1959.7028646444896,1788.5187002937416,3998.8960597826085,0.13835873811141305,-417.90472,103.30998,-15.134908,12.332296,22.728168,8.147857,-5.196302,16.065222,-0.8043974,-4.953941,-14.503883,-7.7147856,-7.162498,-11.903506,-11.915051,-13.005176,-9.53182,-9.265876,-11.988121,-14.937865,0
0.478915,0.5280834,0.54966336,0.4603748,0.48985395,0.68391657,0.8090434,0.7411671,0.5898171,0.52931094,0.5174301,0.48176736,0.048971589500115764,1859.529756112082,1780.5809850605156,3652.4360236220473,0.12082077386811024,-406.24878,85.11797,26.159805,4.094453,6.6859813,31.690742,-5.773095,-1.6100299,-1.8645326,0.5588798,-14.55186,-1.5640011,-12.076619,-8.927552,-11.658197,-11.671876,-2.956169,-14.630268,-11.869398,-12.073774,0
0.64429903,0.62318575,0.5837048,0.5663307,0.52918226,0.52710193,0.5540485,0.6132685,0.6534297,0.6730925,0.67360777,0.67734474,0.042326830707287426,1889.6956181548348,1841.199462572221,3910.4166666666665,0.12031611689814815,-435.10516,90.61331,4.6709027,30.407913,11.214343,17.639067,-14.815972,-4.1232605,-4.2796416,-5.7936525,-7.016814,-4.429466,-19.653622,-11.09856,-10.802758,-9.0975485,-3.1317623,-10.116301,-12.649115,-13.241549,0
0.71938705,0.6552263,0.5871278,0.5935462,0.5822061,0.5589367,0.6187857,0.6366357,0.62220824,0.6577003,0.6734499,0.7501629,0.04199743891907264,1966.527708481564,1775.0795210576407,3910.15625,0.1376087816455696,-410.4221,107.31789,5.3733654,21.858948,-1.0665809,11.612658,-9.212021,-2.5209231,-7.100996,-0.8088882,-8.300766,-12.728528,-19.08028,-7.237509,-10.48558,-10.735423,-0.42330527,-8.170053,-12.811586,-12.463185,0
0.6694444,0.6517583,0.6594308,0.66725934,0.68609303,0.72149664,0.7221856,0.7451973,0.79653776,0.8105366,0.78406584,0.7368025,0.03695639184526224,1823.0965656853275,2010.2468132631516,4125.875538793103,0.09055933459051724,-549.8596,75.294075,32.837864,18.94989,5.656623,22.066866,3.4886866,-3.330454,0.79026467,12.364932,-4.0233192,-5.478322,-3.95461,-4.6472487,-5.744102,-11.284601,-11.162099,-6.720084,-5.3587046,-9.519245,0
0.6081137,0.6205927,0.6098813,0.5714096,0.6029522,0.59357405,0.5759698,0.7164377,0.71166474,0.7357071,0.6853335,0.64728737,0.05389821523889792,1729.776852436057,1731.0161123873881,3549.796195652174,0.10594853940217391,-383.65414,121.73741,2.6723535,14.267241,13.636213,11.10556,1.6771327,-6.232397,-2.5728807,-1.2232081,-10.796937,-2.957109,-11.063175,-7.2739825,-7.422678,-8.32101,-9.783768,-10.571774,-12.173432,-12.878634,0
0.6515039,0.6826949,0.67217445,0.6517347,0.6314928,0.59856224,0.57053506,0.64832425,0.7241715,0.72668374,0.72142595,0.7004918,0.0437082764626291,1787.8502914224796,1678.4776738304195,3550.625,0.1455517578125,-398.63586,130.8425,8.663304,-0.15190576,14.942762,11.713221,-24.9147,13.948629,-0.14373404,1.6851654,-1.4349838,-15.358535,-7.6987658,-3.2337012,1.6861784,-16.926735,-15.603381,-5.4916224,-5.9868083,-14.801409,0
0.54865617,0.58068883,0.6382522,0.6224185,0.6165887,0.674544,0.6897578,0.73694277,0.74014443,0.69159806,0.649062,0.6075373,0.03916794643098985,1615.2609615220106,1680.9276489134224,3397.314745508982,0.1094831820733533,-497.0682,133.25223,31.017666,11.295568,12.554611,11.234578,-2.4445808,-7.8304186,-13.380333,-1.0762086,-1.5030587,2.9582555,-5.903133,-12.347434,-15.7262745,-18.664381,-11.973904,-6.687345,-8.447147,-12.3217745,0
0.5973937,0.6062933,0.5850371,0.5541255,0.6195133,0.67376524,0.72890455,0.7070519,0.68917215,0.7294675,0.67686564,0.61977935,0.05160972089642662,1744.4336389186974,1707.4096946490836,3640.972222222222,0.10877821180555555,-427.46555,127.17427,-8.164566,11.3129,18.329142,3.3916087,-1.1808438,6.614468,0.47144315,3.5921705,0.0719924,-12.567006,-6.630738,-7.031578,-17.839373,-5.386291,-5.6520467,-6.968396,-13.17871,-8.751667,0
0.6929698,0.6544424,0.6427239,0.64276063,0.6395878,0.7111543,0.7038837,0.6931487,0.7115734,0.7243324,0.723397,0.72581154,0.045455415171552986,1996.962937220945,1925.5433597097579,4171.290887850468,0.12510952102803738,-462.6846,69.33566,15.220106,23.032915,8.970244,23.590948,-5.705189,-6.3239083,-10.003273,8.890205,-0.14413218,-2.5572402,-4.447736,-2.7642763,-5.2859683,-7.9425087,-9.574075,-8.223143,-6.32998,-11.754766,0
0.6750874,0.5736619,0.5180513,0.54969335,0.5381992,0.514405,0.54075766,0.5549006,0.5730051,0.65714973,0.6710802,0.71817124,0.06680861453243772,1827.490142382239,1676.3331849888227,3623.9406779661017,0.1063377251059322,-367.29956,120.53234,-0.6102725,13.949704,16.837029,10.326565,-25.453192,0.7035118,-8.401809,2.3212829,-8.343369,-8.971646,-5.4418235,-12.112224,-14.226181,-9.184608,-16.19195,-11.771892,-12.665104,-14.956871,0
0.69034284,0.65802413,0.66945165,0.68601334,0.6834975,0.69183964,0.75991094,0.79825675,0.7914517,0.7431289,0.74235594,0.6999888,0.023765236139315728,1975.0356535338265,1963.1031001408398,4336.145833333333,0.122275390625,-596.4257,103.14328,13.330391,13.584542,9.075167,3.8923287,-0.6553208,9.932428,1.349791,-6.7457123,-4.259494,-6.366989,-8.039285,-3.932845,-8.701014,-10.776315,-12.878452,-10.2126255,-9.50077,-8.546358,0
0.7301706,0.7107805,0.65385514,0.66520673,0.6684259,0.6648732,0.66250324,0.6982703,0.76535195,0.76565117,0.7583164,0.7287755,0.042802777484261464,1789.1108064602467,1762.3624525340376,3877.9829545454545,0.09466441761363636,-574.85297,128.11864,13.653623,7.9814343,-0.61270237,15.917365,4.0076084,-0.04478021,-16.855,5.8944526,-1.2426367,0.8729997,-6.037584,-11.751105,-11.456241,-13.091546,-13.150603,-9.280595,-14.446532,-0.05579834,0
0.60529965,0.63115716,0.7409456,0.74360603,0.66369826,0.57810557,0.6085219,0.63654214,0.6100535,0.5996314,0.6125157,0.64164305,0.04670435776990948,1782.4040825602601,1707.3118193029372,3674.1431451612902,0.11261183215725806,-493.9288,141.27734,-7.98907,-3.271418,29.444424,-5.689179,-12.12568,15.310467,-3.5816143,-2.4771197,-11.375269,-8.108399,-10.371795,-7.387846,-13.873116,-15.180709,-9.323042,-10.309439,-13.870977,-13.653783,0
0.6728173,0.7311249,0.7282366,0.767538,0.81340384,0.82060206,0.8087379,0.76873094,0.7027631,0.67123365,0.6697129,0.64942324,0.03840309529968147,1545.8111950761224,1825.294055178958,3743.59375,0.0534326171875,-505.1943,126.42114,33.15643,2.2322712,8.790142,31.047617,4.3382106,11.0361185,-1.8000699,2.4689038,5.8755693,-0.23323025,-1.7019919,3.2384195,-4.253376,-1.6460812,-8.717729,-9.63733,-5.2889028,-5.8220067,0
0.6660514,0.7391424,0.7474081,0.72165954,0.7099262,0.7587014,0.7995368,0.7616929,0.71751356,0.6600599,0.63374853,0.6279561,0.03167827235708755,1593.414454313144,1687.520873379504,3589.345079787234,0.06869701628989362,-497.86224,157.62526,25.203306,-7.019233,11.83321,33.722553,-9.872301,2.3327713,-11.001579,0.51490575,7.2236147,-2.8118465,-6.668276,0.26579848,-6.598186,-4.3850765,-11.481912,-9.655975,-6.063617,-5.200401,0
0.56295294,0.58385146,0.59905386,0.59875804,0.6398839,0.62371486,0.6678823,0.7372669,0.7491686,0.6845212,0.6431322,0.616397,0.05170343458841996,1922.3133478389434,1785.636264743267,3921.875,0.10567640984195402,-341.43808,109.94998,-9.130418,12.529054,9.682539,15.770526,-7.532426,0.6227738,-3.5468018,6.127824,-5.658876,-5.6458197,-13.576085,-11.026525,-6.8753257,-7.76831,-11.434308,-12.1582775,-12.053437,-11.403325,0
0.64616334,0.5969921,0.5866465,0.60098517,0.5842193,0.54879767,0.5956927,0.64356697,0.6387831,0.6019578,0.60585546,0.60968584,0.040184603854983,2023.1966312472532,1838.31683041641,4111.446496212121,0.15827710700757575,-446.9784,96.687195,-15.407081,19.015135,19.198446,9.235324,-5.6009884,16.706215,-6.0238657,-2.6716027,-6.1295223,-7.656395,-5.682036,-13.799498,-13.805934,-12.990092,-6.5460787,-11.908668,-12.866349,-15.284154,0
0.62790364,0.66739684,0.74912083,0.7177003,0.71400446,0.7602696,0.79040253,0.7176093,0.7297217,0.7643444,0.74776137,0.67319864,0.03547485432757368,1932.599256531485,1779.9625078174138,3687.253289473684,0.13523334703947368,-389.2525,107.933655,10.032104,13.066569,1.3819543,13.002842,-9.961588,9.115757,-10.817235,2.0097451,-1.7677807,3.1072211,-7.8069663,-12.044866,-11.892514,-16.643467,-11.356845,-8.253566,-5.3326154,-8.831064,0
0.49861598,0.54071784,0.559871,0.56961536,0.61086166,0.6460925,0.7152263,0.752316,0.72531277,0.69523597,0.69460624,0.6072186,0.0454917923638216,1895.411056408158,1784.6190635231776,3848.666958041958,0.1348509888548951,-511.41586,109.72843,22.924467,8.958566,10.680103,6.729682,-9.67265,-7.0076833,-15.442171,1.8394883,5.1867647,4.060439,-9.083891,-6.9314427,-14.205343,-15.275051,-11.320457,-3.3132823,-6.395344,-7.0219955,0
0.64755,0.6475532,0.64582425,0.6423688,0.5969126,0.6191681,0.6455465,0.6825824,0.71443754,0.7193665,0.7119695,0.67624325,0.049058699682277586,1630.3348738874947,1835.6458198309122,3658.911401098901,0.06994226476648352,-546.5758,104.979126,14.476028,6.6948214,22.982258,17.216496,-6.0993366,7.575544,-4.531547,-7.8084326,-2.9542146,1.3211392,-18.18632,0.072173655,-9.972791,-5.6719794,-5.315341,-6.113308,-10.723654,-13.225996,0
0.5465056,0.54484373,0.62914044,0.5698534,0.5881323,0.60767126,0.6410963,0.7685326,0.64836013,0.58693546,0.6151763,0.63400525,0.06467406861552252,1633.7942281984126,1531.194347776508,3223.923141891892,0.09865260768581081,-387.38867,152.31888,0.7860691,0.8822469,15.3446245,-1.2037622,-15.299391,-3.1548202,0.58697796,-4.4065037,-4.181514,-12.780142,-6.3250895,-12.06049,-16.578543,-1.1787604,-10.480145,-12.75903,-13.776313,-7.5959983,0
