,segmented_mel_time_seconds
0,1.4371402
1,0.008842599999999479
2,0.0077353000000002226
3,0.008717400000000097
4,0.005479399999998691
5,0.011473600000000417
6,0.006710699999999292
7,0.010753400000000468
8,0.007826399999999012
9,0.007493000000000194
10,0.007817300000001026
11,0.007349400000000728
12,0.0059547000000002015
13,0.008512500000000145
14,0.007577200000000062
15,0.005229800000000395
16,0.008613699999999724
17,0.006964799999998661
18,0.009436700000000187
19,0.0053514999999997315
20,0.008496299999999124
21,0.007741799999999799
22,0.010675000000000878
23,0.00812460000000037
24,0.008814200000001549
25,0.006449400000001049
26,0.008169500000001051
27,0.005985400000000141
28,0.00900259999999875
29,0.013079899999999256
30,0.009891800000000117
31,0.0077566000000004465
32,0.009553900000000226
33,0.009467700000000079
34,0.005693700000000135
35,0.005137599999999409
36,0.011611300000000213
37,0.010352799999999718
38,0.005883000000000749
39,0.0061251000000002165
40,0.009243500000000182
41,0.005381700000000933
42,0.01016130000000004
43,0.008800799999999498
44,0.01018709999999956
45,0.007554499999999464
46,0.010269299999999149
47,0.008068599999999648
48,0.0074880999999997755
49,0.008590899999999735
50,0.006925000000000736
51,0.007654699999999792
52,0.008960399999999424
53,0.00823200000000135
54,0.006468800000000385
55,0.011584799999999618
56,0.00716459999999941
57,0.008837800000000229
58,0.005763100000001131
59,0.01511540000000089
60,0.007521800000001022
61,0.00919480000000128
62,0.007539000000001295
63,0.007507900000000234
64,0.005564500000000194
65,0.008493700000000715
66,0.006722599999999801
67,0.009124399999999255
68,0.006826100000001389
69,0.00960410000000067
70,0.007212199999999669
71,0.008704899999999682
72,0.011862800000001172
73,0.00977980000000045
74,0.01153339999999936
75,0.007467100000001281
76,0.01154750000000071
77,0.005831399999999931
78,0.008293200000000667
79,0.00849189999999922
80,0.010764499999998733
81,0.014508799999999766
82,0.008715399999999818
83,0.009516400000000758
84,0.006119200000000546
85,0.007803900000000752
86,0.00820189999999954
87,0.00865640000000134
88,0.00804710000000064
89,0.010407000000000721
90,0.005774000000000612
91,0.00897900000000007
92,0.006084500000000048
93,0.006262800000000013
94,0.007985400000000809
95,0.0104406000000008
96,0.008463600000000682
97,0.006303499999999573
98,0.007374300000000389
99,0.005522200000001476
100,0.008273500000001377
101,0.005434299999999226
102,0.0054021000000012975
103,0.007092000000000098
104,0.007152500000000117
105,0.007562300000000022
106,0.006395700000000559
107,0.008427999999998548
108,0.008512000000001407
109,0.00741410000000009
110,0.008069800000001237
111,0.008662500000001572
112,0.009184899999999274
113,0.00779370000000057
114,0.006463699999999406
115,0.009320600000000567
116,0.007433399999998258
117,0.00965159999999976
118,0.006357500000000016
119,0.010106399999999738
120,0.007876400000000672
121,0.008687400000001233
122,0.007799699999999632
123,0.010374300000000503
124,0.005284300000001352
125,0.0066541999999998325
126,0.008973700000000306
127,0.00964459999999967
128,0.0060040000000007865
129,0.006859900000000252
130,0.008566500000000588
131,0.006610699999999525
132,0.010774999999998869
133,0.005901599999999618
134,0.009685599999999184
135,0.005788100000000185
136,0.01269320000000107
137,0.007750800000000169
138,0.007862299999999323
139,0.011224699999999643
140,0.0077115000000009815
141,0.005528100000001146
142,0.007841000000000875
143,0.008926300000000609
144,0.007799999999999585
145,0.005780500000000188
146,0.0089484000000013
147,0.006149300000000579
148,0.010262599999999011
149,0.00698090000000029
150,0.010548199999998786
151,0.005629000000000772
152,0.009564000000001016
153,0.005870000000001596
154,0.008243000000000222
155,0.008712300000000894
156,0.009661600000001158
157,0.006338299999999464
158,0.00865140000000153
159,0.007753100000000401
160,0.007996200000000897
161,0.008262099999999606
162,0.008964299999998815
163,0.006483600000001033
164,0.0059237999999997015
165,0.008340699999999757
166,0.008914799999999445
167,0.007653200000000027
168,0.006909900000000135
169,0.008677800000000957
170,0.00683590000000045
171,0.008952999999999989
172,0.006006499999999804
173,0.009180999999999884
174,0.0065720999999996366
175,0.008542800000000739
176,0.007465399999999178
177,0.014402099999999862
178,0.013824899999999474
179,0.007381299999998703
180,0.009490400000000676
181,0.006126000000000076
182,0.011029900000000481
183,0.015413299999998742
184,0.0068360999999992345
185,0.00979329999999834
186,0.00944289999999981
187,0.008842500000000086
188,0.012915599999999472
189,0.007280299999999684
190,0.008651600000000315
191,0.006685099999998556
192,0.0056016000000003174
193,0.008522500000001543
194,0.005666399999999072
195,0.009353600000000739
196,0.006225800000001058
197,0.009553700000001442
198,0.007929400000000086
199,0.008462700000000822
200,0.006252999999999176
201,0.009745500000001073
202,0.005362800000000334
203,0.0091499000000006
